Model,Name,MAC address,Public IP,Uplink IP (Port 1),Uplink IP (Port 2),Tags,Network,Serial number,Clients,Usage,Contacted at,Configuration status
MS130-8P,bc:33:40:c1:51:a3,bc:33:40:c1:51:a3,110.143.109.135,192.168.128.2,, recently-added ,VIC-LLD-Port Fairy,Q4CB-RBNT-K76B,11,12.02 GB,2 minutes ago,Up to date
MS130-8P,bc:33:40:c1:53:19,bc:33:40:c1:53:19,120.151.195.94,192.168.128.2,,,VIC-LLD-Colac,Q4CB-N7D4-SHX2,15,7.35 GB,2 minutes ago,Up to date
MS130-8P,bc:33:40:c1:53:2f,bc:33:40:c1:53:2f,120.151.226.68,192.168.128.2,,,VIC-LLD-Grovedale,Q4CB-HHP5-3JLK,15,6.80 GB,2 minutes ago,Up to date
MS130-8P,bc:33:40:c1:53:3a,bc:33:40:c1:53:3a,110.142.35.156,192.168.128.2,,,VIC-LLD-Moonee Ponds,Q4CB-F75Z-A774,10,6.20 GB,2 minutes ago,Up to date
MS130-24P,bc:33:40:c1:c8:d2,bc:33:40:c1:c8:d2,14.201.212.242,10.120.1.21,, recently-added ,ACT-CanberraTemp,Q4CF-TSEQ-C9XL,25,52.92 GB,2 minutes ago,Up to date
MR36,e4:55:a8:94:4a:ba,e4:55:a8:94:4a:ba,60.240.51.190,192.168.200.22,,,NSW-Sydney National Office Level 12,Q3AJ-SKMB-C2NJ,99,50.49 GB,2 minutes ago,Up to date
MR36,e4:55:a8:94:4c:a9,e4:55:a8:94:4c:a9,60.240.51.190,192.168.200.24,,,NSW-Sydney National Office Level 12,Q3AJ-4LEK-FPNS,115,37.48 GB,2 minutes ago,Up to date
MR36,e4:55:a8:94:4c:d0,e4:55:a8:94:4c:d0,60.240.51.190,192.168.200.19,,,NSW-Sydney National Office Level 12,Q3AJ-PT8Z-DVDR,100,40.83 GB,2 minutes ago,Up to date
MR36,e4:55:a8:94:4c:dc,e4:55:a8:94:4c:dc,60.240.51.190,192.168.200.18,,,NSW-Sydney National Office Level 12,Q3AJ-PA8U-RE95,118,56.92 GB,2 minutes ago,Up to date
MR36,e4:55:a8:ad:91:2e,e4:55:a8:ad:91:2e,203.45.75.235,192.168.128.2,,,VIC-LLD-Warrnambool Shop,Q3KA-2HL9-S8BJ,0,None,6 months ago,Not up to date
MR36,e4:55:a8:ad:91:46,e4:55:a8:ad:91:46,120.151.226.68,192.168.128.3,,,VIC-LLD-Grovedale,Q3KA-6DJ8-LEKU,11,5.01 GB,2 minutes ago,Up to date
MR36,e4:55:a8:ad:91:49,e4:55:a8:ad:91:49,101.178.218.133,192.168.128.3,,,NSW-LLD-Tamworth No Use,Q3KA-YQ9H-CSRR,0,None,13 months ago,Not up to date
MR36,e4:55:a8:ad:91:4c,e4:55:a8:ad:91:4c,165.228.184.115,192.168.128.3,,,VIC-LLD-Portland,Q3KA-5UHK-XJZ7,5,5.56 GB,2 minutes ago,Up to date
MR36,e4:55:a8:ad:91:50,e4:55:a8:ad:91:50,165.228.139.46,192.168.128.4,,,VIC-LLD-Breakwater,Q3KA-9C2Z-G9PK,14,8.18 GB,2 minutes ago,Up to date
MR36,e4:55:a8:ad:91:51,e4:55:a8:ad:91:51,110.174.32.182,192.168.128.8,,,NSW-Wyoming,Q3KA-XNZE-W8UU,16,17.93 GB,2 minutes ago,Up to date
MR36,e4:55:a8:ad:91:5c,e4:55:a8:ad:91:5c,,,,,TAS-Bellerieve,Q3KA-WV97-4PSX,0,None,never,Not up to date
MR36,e4:55:a8:ad:91:78,e4:55:a8:ad:91:78,165.228.34.134,192.168.128.4,,,VIC-LLD-Newcomb,Q3KA-26F5-LVKJ,9,1.12 GB,2 minutes ago,Up to date
MR36,e4:55:a8:ad:91:7e,e4:55:a8:ad:91:7e,110.142.97.133,192.168.128.3,,,VIC-LLD-Camperdown,Q3KA-CKSD-FH72,6,2.41 GB,2 minutes ago,Up to date
MR36,e4:55:a8:ad:91:7f,e4:55:a8:ad:91:7f,110.143.109.135,192.168.128.3,, recently-added ,VIC-LLD-Port Fairy,Q3KA-TB44-FLDJ,8,6.81 GB,2 minutes ago,Up to date
MR36,e4:55:a8:ad:91:82,e4:55:a8:ad:91:82,165.228.16.224,192.168.128.3,,,VIC-LLD-Warrnambool Warehouse,Q3KA-6JWH-9Z3V,7,685.7 MB,2 minutes ago,Up to date
MR36,e4:55:a8:ad:91:87,e4:55:a8:ad:91:87,101.187.15.218,192.168.128.3,,,VIC-LLD-Belmont,Q3KA-JESW-VTDE,6,3.81 GB,2 minutes ago,Up to date
MR36,e4:55:a8:ad:91:8d,e4:55:a8:ad:91:8d,110.142.87.91,192.168.128.3,,,NSW-LLD-Armidale,Q3KA-88HW-N7UV,10,12.85 GB,2 minutes ago,Up to date
MR36,e4:55:a8:ad:91:a4,e4:55:a8:ad:91:a4,110.142.110.63,192.168.128.4,,,VIC-LLD-Drysdale,Q3KA-7SMW-6GCV,13,4.77 GB,2 minutes ago,Up to date
MR36,e4:55:a8:ad:91:ae,e4:55:a8:ad:91:ae,120.151.195.94,192.168.128.3,,,VIC-LLD-Colac,Q3KA-8URL-DM8A,13,7.01 GB,2 minutes ago,Up to date
MR36,e4:55:a8:ad:91:c2,e4:55:a8:ad:91:c2,165.228.139.46,192.168.128.2,,,VIC-LLD-Breakwater,Q3KA-H5BC-9N2D,12,6.99 GB,2 minutes ago,Up to date
MR36,e4:55:a8:ad:a6:c3,e4:55:a8:ad:a6:c3,14.200.133.78,10.110.90.5,,,NSW-Sydney National Office Level 9,Q3KA-GGF6-5UEE,67,15.76 GB,2 minutes ago,Up to date
MR36,e4:55:a8:ad:a6:f7,e4:55:a8:ad:a6:f7,14.200.133.78,10.110.90.4,,,NSW-Sydney National Office Level 9,Q3KA-7FVR-KRYA,55,18.00 GB,2 minutes ago,Up to date
MR36,e4:55:a8:ad:a7:e4,e4:55:a8:ad:a7:e4,110.174.32.182,192.168.128.7,,,NSW-Wyoming,Q3KA-3NHA-U58E,4,3.69 GB,2 minutes ago,Up to date
"MX67C-WW","Adelaide SA","2c:3f:0b:ca:93:c6","27.33.91.218","","","","S36-SA-FRANKLIN STREET-ADELAIDE ","Q2JY-N9JZ-BHJK","15","49.69 GB","43 seconds ago","Up to date"
"MX67C-WW","Aitkenvale QLD","2c:3f:0b:ca:70:09","14.202.42.206","","","","S19-QLD-ROSS RIVER ROAD-AITKENVALE ","Q2JY-D8TX-KVUY","11","12.73 GB","45 seconds ago","Up to date"
"MX67C-WW","Albury NSW","2c:3f:0b:ca:5b:e9","60.240.251.58","","","","S2-NSW -YOUNG STREET-ALBURY","Q2JY-8C9X-YL4M","8","15.99 GB","70 seconds ago","Up to date"
"MX67C-WW","Armidale NSW","a8:46:9d:7a:49:f0","27.32.102.58","",""," 900909442 ","S45-NSW-BEARDY STREET- ARMIDALE","Q2JY-LTUL-2RZU","3","312.2 MB","51 seconds ago","Up to date"
"MX67C-WW","Balgowlah NSW","2c:3f:0b:ca:5d:47","110.174.32.202","","","","S3-NSW - SYDNEY ROAD -BALGOWLAH ","Q2JY-8MYJ-TNWD","13","59.00 GB","52 seconds ago","Up to date"
"MX67C-WW","Bathurst NSW","2c:3f:0b:ca:5d:cc","60.240.251.90","","","","S4-NSW - HOWICK STREET- BATHURST ","Q2JY-8RQL-K93F","9","13.21 GB","60 seconds ago","Up to date"
"MX67C-WW","Bellerive TAS","2c:3f:0b:ca:94:de","14.201.208.30","","","","S39-TAS-CAMBRIDGE ROAD-BELLERIVE ","Q2JY-NNKH-2R7H","9","13.07 GB","75 seconds ago","Up to date"
"MX67C-WW","Bendigo VIC","2c:3f:0b:ca:7f:d7","125.254.17.46","","","","S30-VIC-HARGREAVES STREET-BENDIGO","Q2JY-HC87-BLBG","13","10.13 GB","82 seconds ago","Up to date"
"MX67C-WW","Berserker QLD","2c:3f:0b:ca:7c:34","60.242.152.238","",""," recently-added ","S28-QLD-MUSGRAVE STREET-BERSERKER","Q2JY-GEHL-RCNT","7","6.84 GB","57 seconds ago","Up to date"
"MX67C-WW","Bondi Junction NSW","a8:46:9d:6b:e3:7d","182.239.245.166","",""," 900885865 ","S42-NSW-OXFORD STREET BONDI JUNCTION ","Q2JY-FYDS-AAFR","16","39.43 GB","47 seconds ago","Up to date"
"MX67C-WW","Bungalow QLD","2c:3f:0b:ca:76:df","14.202.42.210","","","","S22-QLD-AUMULLER STREET-BUNGALOW ","Q2JY-EYSK-R6MK","9","11.33 GB","51 seconds ago","Up to date"
"MX67C-WW","Canberra ACT","2c:3f:0b:ca:59:50","193.119.49.116","","","","S1-ACT-NORTHBOURNE AVENUE-CANBERRA","Q2JY-7ULZ-KFXL","26","55.95 GB","51 seconds ago","Up to date"
"MX67C-WW","Coffs Harbour NSW","2c:3f:0b:ca:5d:da","14.200.97.62","","","","S5-NSW -WEST HIGH STREET- COFFS HARBOUR ","Q2JY-8S7K-BZKL","7","11.39 GB","64 seconds ago","Up to date"
"MX67C-WW","Drouin VIC","2c:3f:0b:ca:8b:61","60.240.251.50","","","","S31-VIC-PRINCES WAY-DROUIN ","Q2JY-L5PV-6HCS","9","9.61 GB","78 seconds ago","Up to date"
"MX67C-WW","Dubbo NSW","2c:3f:0b:ca:60:49","110.175.18.102","","","","S6-NSW-BRISBANE STREET-DUBBO  ","Q2JY-9DCV-9YDB","15","27.03 GB","70 seconds ago","Up to date"
"MX67C-WW","Gordon NSW","2c:3f:0b:ca:61:61","110.174.32.214","","","","S8-NSW-PARK AVENUE-GORDON ","Q2JY-9MP8-AXSH","19","112.96 GB","76 seconds ago","Up to date"
"MX250","H1-Global SW NSW","f8:9e:28:3f:b1:2d","203.219.243.186","","","","H1-GLOBAL SWITCH","Q2SW-GS6F-ZENC","2","244.96 GB","59 seconds ago","Up to date"
"MX250","H2-Next DC VIC","f8:9e:28:3f:98:75","203.219.243.219","","","","H2-NEXT DC M1","Q2SW-X8FF-RKNY","2","105.28 GB","63 seconds ago","Up to date"
"MX67C-WW","Maroochydore QLD","2c:3f:0b:ca:7a:4a","60.240.251.22","","","","S26-QLD-DALTON DRIVE-MAROOCHYDORE","Q2JY-FVF9-PCRT","17","23.08 GB","82 seconds ago","Up to date"
"MX67C-WW","Maryborough QLD","2c:3f:0b:ca:7a:eb","14.203.195.178","","","","S27-QLD-ALICE STREET-MARYBOROUGH ","Q2JY-G38T-9QTS","6","4.50 GB","56 seconds ago","Up to date"
"MX67C-WW","Millbank QLD","2c:3f:0b:ca:72:cc","60.242.152.242","","","","S21-QLD-RIVER TERRACE-MILLBANK ","Q2JY-E3J7-Z9G2","7","7.08 GB","72 seconds ago","Up to date"
"MX67C-WW","Morwell VIC","2c:3f:0b:ca:93:33","60.242.136.70","","","","S34-VIC-FLEMING-STREET-MORWELL","Q2JY-N5M5-U6W9","9","7.65 GB","68 seconds ago","Up to date"
"MX67C-WW","Mount Gambier SA","2c:3f:0b:ca:94:52","60.240.251.42","","","","S37-SA-MARK STREET-MOUNT GAMBIER ","Q2JY-NG7V-ARTP","6","4.06 GB","58 seconds ago","Up to date"
"MX67C-WW","Mount Pleasant VIC","2c:3f:0b:ca:7f:ad","14.201.120.198","","","","S29-VIC-MORTON STREET-MOUNT PLEASANT ","Q2JY-HB7W-RV2Q","5","29.88 GB","66 seconds ago","Up to date"
"MX67C-WW","Mundamia NSW","2c:3f:0b:ca:6a:4b","14.200.19.38","","","","S17-NSW-GEORGE EVANS ROAD - MUNDAMIA","Q2JY-BSP6-8YFW","14","18.40 GB","47 seconds ago","Up to date"
"MX67C-WW","Orange NSW","2c:3f:0b:ca:60:f8","60.242.152.230","","","","S7-NSW -DORA STREET- ORANGE ","Q2JY-9J86-PZLW","11","32.90 GB","72 seconds ago","Up to date"
"MX67C-WW","Parramatta NSW","2c:3f:0b:ca:63:05","220.244.182.82","","","","S11-NSW-MARSDEN STREET-PARRAMATTA ","Q2JY-A47C-TGRP","23","37.69 GB","81 seconds ago","Up to date"
"MX67C-WW","Pitt St SYD NSW","2c:3f:0b:ca:67:d5","60.240.251.46","","","","S14-NSW-PITT STREET-SYDNEY","Q2JY-B6VE-CVX4","22","76.66 GB","64 seconds ago","Up to date"
